# Kx Ky E
0 3 -0.04663577367778
0 3 0.3207384564829
0 3 0.45240482141071
0 3 0.45240482141072
0 3 0.60916520736818
0 3 0.62591540673789
0 3 0.62591540673791
0 3 0.63405513185216
0 3 0.63405513185216
0 3 0.63452705742624
0 3 0.65614776292759
0 3 0.75118219382856
0 3 0.75118219382856
0 3 0.77472560565533
0 3 0.88068256952828
0 3 0.88068256952829
0 3 0.95268730944857
0 3 0.95268730944857
0 3 1.0295020326233
0 3 1.0496844921278
0 3 1.0501194860875
0 3 1.0890081071677
0 3 1.104123446585
0 3 1.1103194802538
0 3 1.1412023327988
0 3 1.1489814874858
0 3 1.1563094055364
0 3 1.1690092721026
0 3 1.1730862019589
0 3 1.1804091910417
