# Kx Ky E
0 3 -0.73948950371326
0 3 -0.71604918893491
0 3 -0.7073922934468
0 3 -0.70739229344667
0 3 -0.69330137165413
0 3 -0.69250051717586
0 3 -0.69250051717586
0 3 -0.69155684962977
0 3 -0.69148034343154
0 3 -0.69148034343139
0 3 -0.6913201634034
0 3 -0.68814296112835
0 3 -0.68724231413251
0 3 -0.68724231413243
0 3 -0.68410026886402
0 3 -0.68410026886392
0 3 -0.6817430413527
0 3 -0.68174304135253
0 3 -0.67389586493999
0 3 -0.67349273908092
0 3 -0.67237774490681
0 3 -0.6719352275781
0 3 -0.6718038932114
0 3 -0.66951430883867
0 3 -0.66832933727139
0 3 -0.66740600771477
0 3 -0.66740469100135
0 3 -0.66340469702661
0 3 -0.66284823156447
0 3 -0.66216992727487
