# Kx Ky E
0 3 -0.054168850544631
0 3 0.082558917057046
0 3 0.13155867530863
0 3 0.13155867530865
0 3 0.18979249323758
0 3 0.19603486442802
0 3 0.19603486442807
0 3 0.19905479031129
0 3 0.19905479031133
0 3 0.19922933299026
0 3 0.20733217011919
0 3 0.24272747925753
0 3 0.24272747925755
0 3 0.25152260679479
0 3 0.29095763462208
0 3 0.2909576346221
0 3 0.31791889179964
0 3 0.31791889179966
0 3 0.34633333203924
0 3 0.3539006580837
0 3 0.35412907274234
0 3 0.36828460123288
0 3 0.37408668814447
0 3 0.37625090724726
0 3 0.38812766037469
0 3 0.39077430501384
0 3 0.39372039753304
0 3 0.39850718156395
0 3 0.39995531200254
0 3 0.4026139195442
