# Ky E
0 0.88623484424101
0 0.96203133381337
0 0.96203133381337
0 1.0898141812204
0 1.1935202019061
0 1.1935202019061
0 1.1948536988152
0 1.2172846381227
0 1.2199494057971
0 1.2793076013508
0 1.3006998355603
0 1.3111344358265
0 1.3209237971701
0 1.3209237971701
0 1.4253333657991
0 1.4253333657991
0 1.5011514735282
0 1.5366263456774
0 1.5442288954148
0 1.557727113364
0 1.557727113364
0 1.6324855085472
0 1.6383466518543
0 1.6444985926449
0 1.6444985926449
0 1.6779094409169
0 1.7160220153807
0 1.7160220153807
0 1.7384651736482
0 1.7419170394547
0 1.7577821492659
0 1.7675048196918
0 1.7675048196918
0 1.805419220713
0 1.8814227676904
0 1.9539569397464
0 1.9539569397464
0 2.0382611248753
0 2.1274161945528
0 2.1435778552553
0 2.1435778552553
0 2.2001932234784
1 0.96203133381337
1 1.0791059274509
1 1.1441348206381
1 1.1441348206381
1 1.1935202019061
1 1.2251523071109
1 1.2251523071109
1 1.2620125130914
1 1.2620125130914
1 1.3182116864269
1 1.3209237971701
1 1.3597650858098
1 1.4084893548207
1 1.4253333657991
1 1.4416610086685
1 1.4416610086685
1 1.4849535290702
1 1.4849974432468
1 1.4849974432468
1 1.5443923753115
1 1.5443923753115
1 1.5550865075513
1 1.557727113364
1 1.6413729373045
1 1.6413729373045
1 1.6444985926449
1 1.6498623938743
1 1.7160220153807
1 1.7675048196918
1 1.8226659085792
1 1.8226659085792
1 1.8637148627122
1 1.9539569397464
1 1.9985023903085
1 1.9985023903085
1 2.0739407684687
1 2.1435778552553
1 2.1571916330345
1 2.1571916330345
1 2.2041853328903
2 0.71910520937635
2 0.886234844241
2 1.0791059274509
2 1.0791059274509
2 1.0817145404819
2 1.0961537426095
2 1.1948536988152
2 1.2172846381227
2 1.2199494057971
2 1.3182116864269
2 1.3182116864269
2 1.3597650858098
2 1.3597650858098
2 1.4069888387937
2 1.4084893548207
2 1.4084893548207
2 1.4319143493607
2 1.4849535290702
2 1.4849535290702
2 1.5011514735282
2 1.5134343099147
2 1.5247544820303
2 1.5366263456774
2 1.5550865075513
2 1.5550865075513
2 1.6142134672682
2 1.6383466518543
2 1.6498623938742
2 1.6498623938742
2 1.650192192358
2 1.7419170394547
2 1.7577821492659
2 1.8637148627122
2 1.8637148627122
2 1.9390279182631
2 2.0382611248753
2 2.0739407684687
2 2.0739407684687
2 2.150676094507
2 2.2001932234784
2 2.2041853328903
2 2.2041853328903
2 2.221716818673
3 0.96203133381337
3 1.0791059274509
3 1.1441348206381
3 1.1441348206381
3 1.1935202019061
3 1.2251523071109
3 1.225152307111
3 1.2620125130914
3 1.2620125130914
3 1.3182116864269
3 1.3209237971701
3 1.3597650858098
3 1.4084893548207
3 1.4253333657991
3 1.4416610086685
3 1.4416610086685
3 1.4849535290702
3 1.4849974432468
3 1.4849974432468
3 1.5443923753115
3 1.5443923753115
3 1.5550865075513
3 1.557727113364
3 1.6413729373045
3 1.6413729373045
3 1.6444985926449
3 1.6498623938742
3 1.7160220153807
3 1.7675048196918
3 1.8226659085793
3 1.8226659085793
3 1.8637148627122
3 1.9539569397464
3 1.9985023903085
3 1.9985023903085
3 2.0739407684687
3 2.1435778552553
3 2.1571916330345
3 2.1571916330345
3 2.2041853328903
4 0.886234844241
4 0.96203133381338
4 0.96203133381338
4 1.0898141812204
4 1.1935202019061
4 1.1935202019061
4 1.1948536988152
4 1.2172846381227
4 1.2199494057971
4 1.2793076013508
4 1.3006998355603
4 1.3111344358265
4 1.3209237971701
4 1.3209237971701
4 1.4253333657991
4 1.4253333657991
4 1.5011514735282
4 1.5366263456774
4 1.5442288954148
4 1.557727113364
4 1.557727113364
4 1.6324855085472
4 1.6383466518543
4 1.6444985926449
4 1.6444985926449
4 1.6779094409169
4 1.7160220153807
4 1.7160220153807
4 1.7384651736482
4 1.7419170394547
4 1.7577821492659
4 1.7675048196918
4 1.7675048196918
4 1.805419220713
4 1.8814227676904
4 1.9539569397464
4 1.9539569397464
4 2.0382611248753
4 2.1274161945528
4 2.1435778552553
4 2.1435778552553
4 2.2001932234784
5 0.96203133381337
5 1.0791059274509
5 1.1441348206381
