# Kx Ky E
0 15 13.158069965682
0 15 13.255728440715
0 15 13.255728440715
0 15 13.270609732311
0 15 13.277024207527
0 15 13.277024207527
0 15 13.309459097936
0 15 13.310193455371
0 15 13.320043302199
0 15 13.323342917117
0 15 13.323589803934
0 15 13.32358991637
0 15 13.324535408667
0 15 13.324535409843
0 15 13.345135492726
0 15 13.345135494044
0 15 13.347689156916
0 15 13.347693685936
0 15 13.363182034461
0 15 13.384329777837
0 15 13.387209714562
0 15 13.391613330799
0 15 13.399306892077
0 15 13.403756039122
0 15 13.428448530117
0 15 13.440301706472
0 15 13.440470821942
0 15 13.440851333931
0 15 13.443197914495
0 15 13.448705408535
