# Kx Ky E
0 3 5.8059641279182
0 3 5.8731469551792
0 3 5.8823303373683
0 3 5.8823303373683
0 3 5.9157102945684
0 3 5.9198892960541
0 3 5.9198892960542
0 3 5.9287333677813
0 3 5.9287333677813
0 3 5.9299373264093
0 3 5.9324873770097
0 3 5.9324873770097
0 3 5.9399582303339
0 3 5.9463399842253
0 3 5.9466283705275
0 3 5.9466283705275
0 3 5.9543042780055
0 3 5.9543042780076
0 3 5.9571221300239
0 3 5.9624034193957
0 3 5.9660754701717
0 3 5.9668083447548
0 3 5.9761584882772
0 3 5.9762084264138
0 3 5.9779078542185
0 3 5.9877418286622
0 3 5.9882287332112
0 3 5.9913774898666
0 3 5.9943178134428
0 3 5.9995358610542
